id,answer
1,"Choose $\mathbf{x} = (1,0,1)^T$ and compute $\mathbf{u} = \mathbf{x} + \alpha \mathbf{e}_1$, where $\alpha = -\text{sign}(1) \cdot \|\mathbf{x}\| = -\sqrt{2}$. Construct
\[
\mathbf{u} = \mathbf{x} + \alpha \mathbf{e}_1 = (1,0,1)^T - (\sqrt{2},0,0)^T = (-0.4142,0,1)^T.
\]
Construct $\mathbf{v} = \frac{\mathbf{u}}{\|\mathbf{u}\|}$. Therefore
\[
\mathbf{v} = (-0.3827,0,0.9239)^T.
\]
Compute
\[
Q_1 = I - 2\mathbf{v}\mathbf{v}^T = \begin{pmatrix} 
0.7071 & 0 & 0.7071 \\ 
0 & 1 & 0 \\ 
0.7071 & 0 & -0.7071 
\end{pmatrix}.
\]
Then compute
\[
A_1 = Q_1 A = \begin{pmatrix} 
1.4142 & 0.7071 \\ 
0 & 1 \\ 
0 & -0.7071 
\end{pmatrix}.
\]

Now choose a new vector $\mathbf{x} = (1, -0.7071)^T$ and compute $\alpha = -\text{sign}(1) \cdot \|\mathbf{x}\| = -1.2247$. Construct
\[
\mathbf{u} = \mathbf{x} + \alpha \mathbf{e}_1 = (1, -0.7071)^T - (1.2247, 0)^T = (-0.2247, -0.7071)^T.
\]
Then normalize:
\[
\mathbf{v} = \frac{\mathbf{u}}{\|\mathbf{u}\|} = (-0.3029, -0.9530)^T.
\]
Now compute
\[
V = I - 2\mathbf{v}\mathbf{v}^T = \begin{pmatrix} 
1 - 2(0.3029)^2 & -2(0.3029)(0.9530) \\
-2(0.3029)(0.9530) & 1 - 2(0.9530)^2 
\end{pmatrix}
= \begin{pmatrix}
0.8165 & -0.5774 \\
-0.5774 & -0.8165 
\end{pmatrix}.
\]

Construct the second matrix of the Householder transformation $V_1$ as:
\[ V_1 = \begin{pmatrix} 1 & 0 \\ 0 & V' \end{pmatrix} \]
to get
\[ V_1 = \begin{pmatrix} 1 & 0 & 0 \\ 0 & 0.8165 & -0.5774 \\ 0 & -0.5774 & -0.8165 \end{pmatrix} \]
and then compute
\[ R = V_1 A_1 = \begin{pmatrix} 1.4142 & 0.7071 \\ 0 & 1.2247 \\ 0 & 0 \end{pmatrix} \]
We observe that $R = V_1 A_1$ is the matrix in the QR decomposition of the matrix $A$ with $Q = V_1^T V_2^T$:
\[ Q = V_1^T V_2^T = \begin{pmatrix} 0.7071 & -0.4082 & -0.5774 \\ 0 & 0.8165 & -0.5774 \\ 0.7071 & 0.4082 & 0.5774 \end{pmatrix} \]"
2,"By definition of the Inertia of $A$, we have:
\[
\text{Inertia}(A) = (\# \text{ negative eigenvalues of } A, \# \text{ zero eigenvalues of } A, \# \text{ positive eigenvalues of } A).
\]
Thus, we need to find eigenvalues of the matrix $A$, and to do this we solve the characteristic equation $\det(A - \lambda I) = 0$:
\[
\det\begin{pmatrix}
1 - \lambda & 0 & 1 \\
0 & 1 - \lambda & 0 \\
1 & 0 & 1 - \lambda \\
\end{pmatrix} = 0.
\]
Solving the above equation for $\lambda$ we get three eigenvalues:
\[
\lambda_1 = 0, \quad \lambda_2 = 1, \quad \lambda_3 = 2,
\]
which are solutions to the characteristic equation $(1 - \lambda)((1 - \lambda)^2 - 1) = 0$.
Thus, we have two positive eigenvalues and one zero eigenvalue, and therefore
\[
\text{Inertia}(A) = (\#\lambda_i < 0, \#\lambda_i = 0, \#\lambda_i > 0) = (0, 1, 2).
\]"
3,"To compute the upper triangular matrix of the matrix
\[ A = \begin{bmatrix} 1 & 0 & 1 \\ 1 & 1 & 0 \\ 0 & 1 & 1 \end{bmatrix}, \]
using Givens rotation, we perform the following steps.
To zero out element $A_{2,1} = 1$, we compute elements of the Givens matrix $G(j,k) = G(2,1)$. The Givens matrix (since $j > k$) will be
\[ G(j,k) = G(2,1) = \begin{bmatrix} c & -s & 0 \\ s & c & 0 \\ 0 & 0 & 1 \end{bmatrix}. \]
Values of $c, s$ are computed from the known $a = A(j,j) = 1$ and $b = A(j,k) = 1$ via formulas:
\[ r = \sqrt{a^2 + b^2} = \sqrt{1^2 + 1^2} = \sqrt{2}, \]
\[ c = \frac{1}{\sqrt{2}}, \]
\[ s = -\frac{1}{\sqrt{2}}. \]
The Givens matrix (recall $j > k$) will be
\[ G(2,1) = \begin{bmatrix} \frac{1}{\sqrt{2}} & \frac{1}{\sqrt{2}} & 0 \\ -\frac{1}{\sqrt{2}} & \frac{1}{\sqrt{2}} & 0 \\ 0 & 0 & 1 \end{bmatrix} \approx \begin{bmatrix} 0.7071 & 0.7071 & 0 \\ -0.7071 & 0.7071 & 0 \\ 0 & 0 & 1 \end{bmatrix}. \]
Thus,
\[ A_1 = G(2,1) \cdot A = \begin{bmatrix} 1.4142 & 0.7071 & 0.7071 \\ 0 & 0.7071 & -0.7071 \\ 0 & 1 & 1 \end{bmatrix}. \]
To zero out element $A_{13,2} = 1$, we compute elements of the Givens matrix $G(j, k) = G(3, 2)$. The Givens matrix (since $j > k$) will be
\[ G(j, k) = G(3, 2) = \begin{bmatrix} 1 & 0 & 0 \\ 0 & c & -s \\ 0 & s & c \end{bmatrix} \]
Values of $c, s$ are computed from the known $a = A(j, j) = 0.7071$ and $b = A(j, k) = 1$ via formulas:
\[ r = \sqrt{a^2 + b^2} = \sqrt{0.7071^2 + 1^2} = 1.2247, \]
\[ c = 0.5774, \]
\[ s = -0.8165. \]
The Givens matrix (recall $j > k$) will be
\[ G(3, 2) \approx \begin{bmatrix} 1 & 0 & 0 \\ 0 & 0.5774 & 0.8165 \\ 0 & -0.8165 & 0.5774 \end{bmatrix} \]
Thus, the upper triangular matrix will be
\[ A_2 = G(3, 2) \cdot A_1 = \begin{bmatrix} 1.4142 & 0.7071 & 0.7071 \\ 0 & 1.2247 & 0.4082 \\ 0 & 0 & 1.1547 \end{bmatrix} \]"
4,"Since $r = Ax - b$ then $x = A^{-1}(r + b)$, $x = A^{-1}b$ and
\[
\frac{\|x - \hat{x}\|_2}{\|\hat{x}\|_2} \leq \|A^{-1}\|_2 \cdot \frac{\|r\|_2}{\|\hat{x}\|_2}.
\]
Applying the above estimate to the computed solution $x = [-2.001, 5.002]^T$ and noting that the exact solution is $\hat{x} = [-2, 5]^T$, we have the following error bound for the relative error:
\[
\frac{\|x - \hat{x}\|_2}{\|\hat{x}\|_2} \leq \|A^{-1}\|_2 \cdot \frac{\|r\|_2}{\|\hat{x}\|_2} = 1.6180 \cdot \frac{\sqrt{(-0.001)^2 + 0.002^2}}{\sqrt{(-2)^2 + 5^2}} \approx 6.7184 \times 10^{-4}.
\]
Here $\|A^{-1}\|_2 = 1.618$ since
\[
A^{-1} = \frac{1}{\det(A)} \bar{C}^T = \frac{1}{1} \begin{bmatrix} 1 & -1 \\ 0 & 1 \end{bmatrix},
\]
where $\bar{C}^T$ is the transposed matrix of co-factors.

\[
\text{ans =}
\]
\[
1.6180
\]"
5,"
The Wilkinson's shift $\sigma_i$ should be chosen as an eigenvalue of the matrix
\[\begin{pmatrix}
a_{n-1,n-1} & a_{n-1,n} \\
a_{n,n-1} & a_{n,n}
\end{pmatrix}\]
which is closest to the value $a_{n,n}$ of the matrix $A_i$. Thus, the Wilkinson's shift $\sigma_i$ for the matrix
\[ A_i = \begin{pmatrix}
1 & 0 & 1 \\
0 & 1 & 1 \\
1 & 0 & 1
\end{pmatrix} \]
will be an eigenvalue of the matrix
\[\begin{pmatrix}
1 & 1 \\
0 & 1
\end{pmatrix}\]
which is closest to $a_{n,n} = 1$. Since both eigenvalues are $\lambda_1,_2 = 1,,$, then the Wilkinson's shift is $\sigma_i = 1$."
6," Multiplying the matrix \( A \) with the matrix \( B \), we have
\[
AB = \begin{pmatrix}
1 & 2 & 3 \\
0 & 1 & 2 \\
2 & 0 & 2
\end{pmatrix}
\begin{pmatrix}
1 & 1 & 2 \\
-1 & 1 & -1 \\
1& 0 & 2
\end{pmatrix}
= \begin{pmatrix}
2 & 3 & 6 \\
3 & -1 & 5 \\
4 & 2 & 8
\end{pmatrix}
\]

Since we know from part (a) that product \( AB \) is equal to
\[
AB = \begin{pmatrix}
2 & 3 & 6 \\
3 & -1 & 5 \\
4 & 2 & 8
\end{pmatrix}
\]

Now interchanging rows and columns, gives
\[
(AB)^T = \begin{pmatrix}
2 & 3 & 4 \\
3 & -1 & 2 \\
6 & 5 & 8
\end{pmatrix}
\]

Since transpose of the matrix \( A \) is
\[
A^T = \begin{pmatrix}
1 & 0 & 2 \\
0 & -1 & 0 \\
3 & 2 & 2
\end{pmatrix}
\]

and transpose of the matrix \( B \) is
\[
B^T = \begin{pmatrix}
1 & -1 & 1 \\
0 & 1 & -1 \\
2 & -1 & 2
\end{pmatrix}
\]

Then the product \( B^T A^T \) is equal to
\[
B^T A^T = \begin{pmatrix}
1 \cdot 2 + 3 \cdot 0 + 1 \cdot 2 & 0 + 1 \cdot 2 + 2 \cdot 0 & 2 + 0 + 2 \\
1 + 2 \cdot 0 + 0 \cdot -1 & 0 - 1 \cdot 0 + 2 \cdot 0 & 0 + 0 + 0 \\
2 \cdot 2 + 6 \cdot 0 + 1 \cdot 4 & 0 + 1 \cdot 4 + 4 \cdot 0 & 4 + 0 + 4
\end{pmatrix}
= \begin{pmatrix}
2 & 3 & 4 \\
3 & -1 & 2 \\
6 & 5 & 8
\end{pmatrix}
\]

Thus \( (AB)^T = B^T A^T \)."
7,"Multiplying the matrix $A$ with the matrix $B$, we have
\[ AB = \begin{pmatrix} 1+1 & 0+1 \\ 0+1 & 0+1 \end{pmatrix} = \begin{pmatrix} 2 & 1 \\ 1 & 1 \end{pmatrix}. \]
Now finding the inverse of product $AB$ as
\[ (AB)^{-1} = \frac{1}{(2)(1) - (1)(1)} \begin{pmatrix} 1 & -1 \\ -1 & 2 \end{pmatrix} = \begin{pmatrix} 1 & -1 \\ -1 & 2 \end{pmatrix}. \]
Similarly, finding inverse of $A$ and $B$, we get
\[ A^{-1} = \frac{1}{(1)(1) - (0)(-1)} \begin{pmatrix} 1 & -1 \\ 0 & 1 \end{pmatrix} = \begin{pmatrix} 1 & -1 \\ 0 & 1 \end{pmatrix}, \]
and
\[ B^{-1} = \frac{1}{(1)(1) - (0)(-1)} \begin{pmatrix} 1 & 0 \\ -1 & 1 \end{pmatrix} = \begin{pmatrix} 1 & 0 \\ -1 & 1 \end{pmatrix}. \]
Then
\[ B^{-1}A^{-1} = \begin{pmatrix} 1+0 & -1+0 \\ -1+0 & 1+1 \end{pmatrix} = \begin{pmatrix} 1 & -1 \\ -1 & 2 \end{pmatrix}. \]
Thus, $(AB)^{-1} = B^{-1}A^{-1}$."
8,"The minors $M_{ij}$ of all elements $a_{ij}$ of the matrix $A$ are calculated as follows:
\begin{align*}
M_{11} &= \begin{vmatrix} 0 & 1 \\ 1 & 1 \end{vmatrix} = 0 - 1 = -1, \\
M_{12} &= \begin{vmatrix} 1 & 1 \\ 0 & 1 \end{vmatrix} = 1 - 0 = 1, \\
M_{13} &= \begin{vmatrix} 1 & 0 \\ 0 & 1 \end{vmatrix} = 1 - 0 = 1, \\
M_{21} &= \begin{vmatrix} 1 & 0 \\ 1 & 1 \end{vmatrix} = 1 - 0 = 1, \\
M_{22} &= \begin{vmatrix} 1 & 0 \\ 0 & 1 \end{vmatrix} = 1 - 0 = 1, \\
M_{23} &= \begin{vmatrix} 1 & 1 \\ 0 & 1 \end{vmatrix} = 1 - 0 = 1, \\
M_{31} &= \begin{vmatrix} 1 & 0 \\ 0 & 1 \end{vmatrix} = 1 - 0 = 1, \\
M_{32} &= \begin{vmatrix} 1 & 0 \\ 1 & 1 \end{vmatrix} = 1 - 0 = 1, \\
M_{33} &= \begin{vmatrix} 1 & 1 \\ 1 & 0 \end{vmatrix} = 0 - 1 = -1.
\end{align*}
Now using these minors we can have the cofactors of the matrix as follows:
\begin{align*}
A_{11} &= (-1)^{1+1}M_{11} = M_{11} = -1, \\
A_{12} &= (-1)^{1+2}M_{12} = -M_{12} = -1, \\
A_{13} &= (-1)^{1+3}M_{13} = M_{13} = 1, \\
A_{21} &= (-1)^{2+1}M_{21} = -M_{21} = -1, \\
A_{22} &= (-1)^{2+2}M_{22} = M_{22} = 1, \\
A_{23} &= (-1)^{2+3}M_{23} = -M_{23} = -1, \\
A_{31} &= (-1)^{3+1}M_{31} = M_{31} = 1, \\
A_{32} &= (-1)^{3+2}M_{32} = -M_{32} = -1, \\
A_{33} &= (-1)^{3+3}M_{33} = M_{33} = -1.
\end{align*}
So that the matrix of the cofactor is
\[ C = \begin{pmatrix} -1 & -1 & 1 \\ -1 & 1 & -1 \\ 1 & -1 & -1 \end{pmatrix}, \]
and the transpose of the cofactor matrix $C$ is the adjoint of $A$, that is
\[ \text{Adj}(A) = \begin{pmatrix} -1 & -1 & 1 \\ -1 & 1 & -1 \\ 1 & -1 & -1 \end{pmatrix}. \]
Now, by using the cofactor expansion along the first row, we can find the determinant of the matrix $A$ as follows:
\[ \det(A) = a_{11}A_{11} + a_{12}A_{12} + a_{13}A_{13} = -1 - 1 - 0 = -2. \]
To find the inverse of the matrix $A$, we use $A^{-1} = \frac{\text{Adj}(A)}{\det(A)}$. For example, if $A = \begin{pmatrix} -1 & -1 & 1 \\ -1 & 1 & -1 \\ 1 & -1 & -1 \end{pmatrix}$, then $A^{-1} = \begin{pmatrix} 1/2 & 1/2 & -1/2 \\ 1/2 & -1/2 & 1/2 \\ -1/2 & 1/2 & 1/2 \end{pmatrix}$."
9,"The minors $M_{ij}$ of all elements $a_{ij}$ of the matrix $A$ are calculated as follows:
\begin{align*}
M_{11} &= \begin{vmatrix} 2 & 0 \\ -2 & 1 \end{vmatrix} = 2(1) - 0(-2) = 2, \\
M_{12} &= \begin{vmatrix} -1 & 0 \\ 3 & 1 \end{vmatrix} = (-1)(1) - 0(3) = -1, \\
M_{13} &= \begin{vmatrix} -1 & 2 \\ 3 & -2 \end{vmatrix} = (-1)(-2) - 2(3) = -4, \\
M_{21} &= \begin{vmatrix} 1 & 3 \\ -2 & 1 \end{vmatrix} = 1(1) - 3(-2) = 7, \\
M_{22} &= \begin{vmatrix} 2 & 3 \\ 3 & 1 \end{vmatrix} = 2(1) - 3(3) = -7, \\
M_{23} &= \begin{vmatrix} 2 & 1 \\ 3 & -2 \end{vmatrix} = 2(-2) - 1(3) = -7, \\
M_{31} &= \begin{vmatrix} 1 & 3 \\ 2 & 0 \end{vmatrix} = 1(0) - 3(2) = -6, \\
M_{32} &= \begin{vmatrix} 2 & 3 \\ -1 & 0 \end{vmatrix} = 2(0) - 3(-1) = 3, \\
M_{33} &= \begin{vmatrix} 2 & 1 \\ -1 & 2 \end{vmatrix} = 2(2) - 1(-1) = 5.
\end{align*}
Now using these minors we can have the cofactors of the matrix as follows:

\begin{align*}
A_{11} &= (-1)^{1+1} M_{11} = M_{11} = 2 \\
A_{12} &= (-1)^{1+2} M_{12} = -M_{12} = 1 \\
A_{13} &= (-1)^{1+3} M_{13} = M_{13} = -4 \\
A_{21} &= (-1)^{2+1} M_{21} = -M_{21} = -7 \\
A_{22} &= (-1)^{2+2} M_{22} = M_{22} = -7 \\
A_{23} &= (-1)^{2+3} M_{23} = -M_{23} = 7 \\
A_{31} &= (-1)^{3+1} M_{31} = M_{31} = -6 \\
A_{32} &= (-1)^{3+2} M_{32} = -M_{32} = -3 \\
A_{33} &= (-1)^{3+3} M_{33} = M_{33} = 5 \\
\end{align*}

So that the matrix of the cofactor is 
C = \begin{pmatrix}
2 & 1 & -4 \\
-7 & -7 & 7 \\
-6 & -3 & 5
\end{pmatrix} \\
and the transpose of the cofactor matrix $C$ is the adjoint of $A$, that is 

\text{Adj}(A) = \begin{pmatrix}
2 & -7 & -6 \\
1 & -7 & -3 \\
-4 & 7 & 5
\end{pmatrix} \\

Now by using the cofactor expansion along the first row, we can find the determinant of the matrix $A$ as follows \\
\det(A) = a_{11} A_{11} + a_{12} A_{12} + a_{13} A_{13} = 4 + 1 - 12 = -7 \\
Now find the product 
\\

A \cdot \text{Adj} (A) = \text{Adj} (A) \cdot A = \begin{pmatrix}
-7 & 0 & 0 \\
0 & -7 & 0 \\
0 & 0 & -7
\end{pmatrix} 

Which can also be written as\\
$A \cdot \text{Adj}(A) = \text{Adj}(A) \cdot A = -7 \begin{pmatrix} 1 & 0 & 0 \\ 0 & 1 & 0 \\ 0 & 0 & 1 \end{pmatrix} = \det(A) I_3$."
10,"Writing the given system in matrix form
\[
\begin{pmatrix}
4 & 1 & -3 \\
3 & 2 & -6 \\
1 & -5 & 3
\end{pmatrix}
\begin{pmatrix}
x_1 \\
x_2 \\
x_3
\end{pmatrix}
=
\begin{pmatrix}
9 \\
-2 \\
1
\end{pmatrix}
\]
gives
\[
A =
\begin{pmatrix}
4 & 1 & -3 \\
3 & 2 & -6 \\
1 & -5 & 3
\end{pmatrix}
\quad \text{and} \quad
\mathbf{b} =
\begin{pmatrix}
9 \\
-2 \\
1
\end{pmatrix}
\]
The determinant of the matrix can be calculated as
\[
|A| =
\begin{vmatrix}
4 & 1 & -3 \\
3 & 2 & -6 \\
1 & -5 & 3
\end{vmatrix}
= 4(6 - 30) + 1(-6 - 9) - 3(-15 - 2) = -60 \neq 0
\]
which shows that the given matrix $A$ is nonsingular. Then the matrices $A_1$, $A_2$, and $A_3$ can be computed as
\[
A_1 =
\begin{pmatrix}
9 & 1 & -3 \\
-2 & 2 & -6 \\
1 & -5 & 3
\end{pmatrix}, \quad
A_2 =
\begin{pmatrix}
4 & 9 & -3 \\
3 & -2 & -6 \\
1 & 1 & 3
\end{pmatrix}, \quad
A_3 =
\begin{pmatrix}
4 & 1 & 9 \\
3 & 2 & -2 \\
1 & -5 & 1
\end{pmatrix}
\]
Now Finding the determinants of the matrices $A_1$, $A_2$, and $A_3$, we get
\begin{align*}
|A_1| &= 9(6 - 30) + 1(-6 + 6) - 3(10 - 2) = -216 + 0 - 24 = -240, \\
|A_2| &= 4(-6 + 6) + 9(-6 - 9) - 3(3 + 2) = 0 - 135 - 15 = -150, \\
|A_3| &= 4(2 - 10) + 1(-2 - 3) + 9(-15 - 2) = -32 - 5 - 153 = -190.
\end{align*}
Therefore, by using Cramer's rule, we get
\begin{align*}
x_1 &= \frac{|A_1|}{|A|} = \frac{-240}{-60} = 4, \\
x_2 &= \frac{|A_2|}{|A|} = \frac{-150}{-60} = 2.5, \\
x_3 &= \frac{|A_3|}{|A|} = \frac{-190}{-60} = 3.166.
\end{align*}"""
