id,answer
1,"We carry out two Householder‐reflections \(H_{1}\in\R^{3\times3}\) and \(H_{2}\in\R^{3\times3}\) so that
\[
R \;=\; H_{2}\,H_{1}\,A
\quad\text{is upper‐triangular,}
\qquad
Q \;=\; H_{1}\,H_{2}\;\text{orthogonal,}
\quad A=QR.
\]

1. First reflector to zero out the \((2,1)\)– and \((3,1)\)–entries of \(A\).  
   Set
   \[
     x \;=\;\begin{pmatrix}1\\0\\1\end{pmatrix},\qquad
     \alpha=\|x\|_2=\sqrt2,\qquad
     v_1=x-\alpha\,e_1
           =\begin{pmatrix}1-\sqrt2\\0\\1\end{pmatrix},\qquad
     H_1=I_3-2\,\frac{v_1v_1^T}{v_1^Tv_1}.
   \]
   One checks
   \[
     H_{1}A
     =
     \begin{pmatrix}
       \sqrt2 & \tfrac1{\sqrt2}\\
       0      & 1\\
       0      & -\tfrac{\sqrt2}{2}
     \end{pmatrix}
     =:A^{(1)}.
   \]

2. Second reflector to zero out the \((3,2)\)–entry of \(A^{(1)}\).  
   Focus on the trailing \(2\times1\)‐vector
   \(
     x^{(2)}=\begin{pmatrix}1\\-{\sqrt2}/2\end{pmatrix}
   \), set
   \[
     \alpha_2=\|x^{(2)}\|_2=\sqrt{\tfrac32},\quad
     v_2=x^{(2)}-\alpha_2\,e_1^{(2)},\quad
     H_2=
     \begin{pmatrix}
       1 & 0\\
       0 & I_2-2\frac{v_2v_2^T}{v_2^Tv_2}
     \end{pmatrix}
     =
     \begin{pmatrix}
       1 & 0 & 0\\
       0 & \sqrt{\tfrac23} & \sqrt{\tfrac13}\\
       0 & \sqrt{\tfrac13} & -\sqrt{\tfrac23}
     \end{pmatrix}.
   \]
   Then
   \[
     R \;=\; H_{2}\,A^{(1)}
     \;=\;
     \begin{pmatrix}
       \sqrt2   & \tfrac1{\sqrt2}\\
       0        & \sqrt{\tfrac32}\\
       0        & 0
     \end{pmatrix}
     =
     \begin{pmatrix}
       \sqrt2   & \tfrac{\sqrt2}{2}\\
       0        & \tfrac{\sqrt6}{2}\\
       0        & 0
     \end{pmatrix}.
   \]

3. The orthogonal factor is
   \[
     Q \;=\; H_{1}\,H_{2}
     \;=\;
     \begin{pmatrix}
       \tfrac1{\sqrt2} & \tfrac1{\sqrt6} & -\tfrac1{\sqrt3}\\[6pt]
       0                & \sqrt{\tfrac23}  & \tfrac1{\sqrt3}\\[6pt]
       \tfrac1{\sqrt2} & -\tfrac1{\sqrt6}& \tfrac1{\sqrt3}
     \end{pmatrix},
   \]
   and one checks \(Q^TQ=I_3\), \(A=QR\)."
2,"The eigenvalues of the symmetric matrix  
\[  
A = \begin{bmatrix}  
1 & 0 & 1 \\  
0 & 1 & 0 \\  
1 & 0 & 1  
\end{bmatrix}  
\]  
can be found by observing that in the basis which reorders indices to $(1,3,2)$ it splits as a $2\times2$ block plus a $1\times1$ block:  
\[
A\sim 
\begin{bmatrix}
1 & 1 \\[6pt]
1 & 1
\end{bmatrix}
\oplus
\begin{bmatrix}
1
\end{bmatrix}.
\]
The $2\times2$ block has eigenvalues $2$ and $0$, and the $1\times1$ block has eigenvalue $1$.  Hence the spectrum of $A$ is
\[
\{\;2,\;1,\;0\;\}.
\]
Therefore the inertia of $A$, i.e.\ the numbers of positive, negative and zero eigenvalues, is
\[
\Inertia(A)\;=\;(2,\;0,\;1).
\]"
3,"1. First Givens rotation \(G_{12}\) to annihilate \(a_{21}=1\):  
   \[
     a=1,\quad b=1,\quad r=\sqrt{a^2+b^2}=\sqrt2,\quad
     c_1=\frac{a}{r}=\frac1{\sqrt2},\quad s_1=\frac{b}{r}=\frac1{\sqrt2},
   \]
   \[
     G_{12}=\begin{pmatrix}
       c_1 & s_1 & 0\\
      -s_1 & c_1 & 0\\
       0   & 0   & 1
     \end{pmatrix},\qquad
     A^{(1)}=G_{12}\,A
     =\begin{pmatrix}
       \sqrt2 & \tfrac1{\sqrt2}   & \tfrac1{\sqrt2}\\
       0      & \tfrac1{\sqrt2}   & -\tfrac1{\sqrt2}\\
       0      & 1                  & 1
     \end{pmatrix}.
   \]

2. Second Givens rotation \(G_{23}\) to annihilate \(a^{(1)}_{32}=1\):  
   \[
     a=\tfrac1{\sqrt2},\quad b=1,\quad r=\sqrt{a^2+b^2}=\sqrt{\tfrac32},\quad
     c_2=\frac{a}{r}=\frac1{\sqrt3},\quad s_2=\frac{b}{r}=\sqrt{\tfrac23},
   \]
   \[
     G_{23}=\begin{pmatrix}
       1   & 0   & 0\\
       0   & c_2 & s_2\\
       0   & -s_2& c_2
     \end{pmatrix},\qquad
     R=G_{23}\,A^{(1)}
     =\begin{pmatrix}
       \sqrt2 & \tfrac1{\sqrt2} & \tfrac1{\sqrt2}\\
       0      & \tfrac{\sqrt6}{2}& \tfrac{\sqrt6}{6}\\
       0      & 0                & \tfrac{2}{\sqrt3}
     \end{pmatrix}.
   \]

Hence the upper–triangular factor is
\[
   R=\begin{pmatrix}
     \sqrt2 & \tfrac1{\sqrt2} & \tfrac1{\sqrt2}\\
     0      & \tfrac{\sqrt6}{2}& \tfrac{\sqrt6}{6}\\
     0      & 0                & \tfrac{2}{\sqrt3}
   \end{pmatrix},
\]
with \(G_{23}\,G_{12}\,A=R\)."
4,"Using the identity  
\[
\delta x \;=\; x-\tilde x \;=\;-A^{-1}r,
\]  
we have  
\[
\|\delta x\|_2\;\le\;\|A^{-1}\|_2\,\|r\|_2.
\]  
Since  
\[
\|\tilde x\|_2 \;=\;\|x+\delta x\|_2\;\ge\;\|x\|_2-\|\delta x\|_2,
\]  
it follows that  
\[
\|x\|_2\;\ge\;\|\tilde x\|_2-\|A^{-1}\|_2\,\|r\|_2
\quad\Longrightarrow\quad
e \;=\;\frac{\|\delta x\|_2}{\|x\|_2}
\;\le\;\frac{\|A^{-1}\|_2\,\|r\|_2}
{\|\tilde x\|_2-\|A^{-1}\|_2\,\|r\|_2}\,.
\]  
Equivalently, if one introduces  
\[
\eta\;:=\;\frac{\|A^{-1}\|_2\,\|r\|_2}{\|\tilde x\|_2}\,<\,1,
\]  
then  
\[
\frac{\|\delta x\|_2}{\|\tilde x\|_2}\;\le\;\eta,
\quad
e \;=\;\frac{\|\delta x\|_2}{\|x\|_2}
\;\le\;\frac{\eta}{1-\eta}\,.
\]  
In our case  
\[
A^{-1}=\begin{pmatrix}1&-1\\0&1\end{pmatrix},\quad
\|A^{-1}\|_2=\sqrt{\tfrac{3+\sqrt5}2}\approx1.618,\quad
\|\tilde x\|_2=\sqrt{(-2.001)^2+(5.002)^2},\quad
\|r\|_2=\|A\tilde x-b\|_2,
\]  
so numerically one finds \(\eta\approx6.71\times10^{-4}\) and hence  
\[
e\le\frac{\eta}{1-\eta}\approx6.72\times10^{-4}\,. 
\]"
5,"Let \(n=3\).  The Wilkinson shift is the eigenvalue of the trailing \(2\times2\) block of \(A_i\) closest to its \((3,3)\)–entry.  Here
\[
B=\begin{pmatrix}
a_{22}&a_{23}\\
a_{32}&a_{33}
\end{pmatrix}
=\begin{pmatrix}
1&1\\
0&1
\end{pmatrix}.
\]
Compute
\[
\tau=\tr(B)=1+1=2,\quad
\Delta=\tau^2-4\det(B)=4-4\cdot1=0,
\]
so the two eigenvalues are
\[
\mu_{\pm}=\frac{\tau\pm\sqrt{\Delta}}{2}
=\frac{2\pm0}{2}=1.
\]
Hence the Wilkinson shift is
\[
\sigma_i \;=\;1.
\]"
6,"To prove \((AB)^T = B^T A^T\), we compare their \((i,j)\)-entries. 

1. The \((i,j)\)-entry of \((AB)^T\) is
\[
\bigl((AB)^T\bigr)_{ij}
=\,(AB)_{ji}
=\sum_{k=1}^3 A_{\,j k}\,B_{\,k i}.
\]

2. The \((i,j)\)-entry of \(B^T A^T\) is
\[
\bigl(B^T A^T\bigr)_{ij}
=\sum_{k=1}^3 \bigl(B^T\bigr)_{i k}\,\bigl(A^T\bigr)_{k j}
=\sum_{k=1}^3 B_{\,k i}\,A_{\,j k}.
\]

Since scalar multiplication is commutative,
\[
\sum_{k=1}^3 A_{\,j k}\,B_{\,k i}
=\sum_{k=1}^3 B_{\,k i}\,A_{\,j k},
\]
we conclude that for all \(i,j\)
\[
\bigl((AB)^T\bigr)_{ij}
=\bigl(B^T A^T\bigr)_{ij}.
\]
Hence
\[
(AB)^T = B^T A^T.
\]"
7,"1. Compute \(AB\):  
\[
AB = \begin{pmatrix}1&1\\0&1\end{pmatrix}
     \begin{pmatrix}1&0\\1&1\end{pmatrix}
   = \begin{pmatrix}1\cdot1+1\cdot1 & 1\cdot0+1\cdot1\\
                     0\cdot1+1\cdot1 & 0\cdot0+1\cdot1
     \end{pmatrix}
   = \begin{pmatrix}2&1\\1&1\end{pmatrix}.
\]

2. Inverse of \(AB\):  
\[
\det(AB)=2\cdot1-1\cdot1=1,
\qquad
(AB)^{-1} = \frac1{\det(AB)}
             \begin{pmatrix}1 & -1\\
                            -1& 2
             \end{pmatrix}
           = \begin{pmatrix}1&-1\\-1&2\end{pmatrix}.
\]

3. Inverses of \(A\) and \(B\):  
\[
A^{-1}
=\begin{pmatrix}1&1\\0&1\end{pmatrix}^{-1}
=\begin{pmatrix}1 & -1\\
               0 &  1
 \end{pmatrix}, 
\qquad
B^{-1}
=\begin{pmatrix}1&0\\1&1\end{pmatrix}^{-1}
=\begin{pmatrix}1 & 0\\
               -1& 1
 \end{pmatrix}.
\]

4. Product \(B^{-1}A^{-1}\):  
\[
B^{-1}A^{-1}
=\begin{pmatrix}1&0\\-1&1\end{pmatrix}
 \begin{pmatrix}1&-1\\0&1\end{pmatrix}
=\begin{pmatrix}
   1\cdot1+0\cdot0 & 1\cdot(-1)+0\cdot1\\
  -1\cdot1+1\cdot0 & -1\cdot(-1)+1\cdot1
 \end{pmatrix}
=\begin{pmatrix}1&-1\\-1&2\end{pmatrix}.
\]

5. Conclusion:  
\[
(AB)^{-1}
=\begin{pmatrix}1&-1\\-1&2\end{pmatrix}
= B^{-1}A^{-1}.
\]"
8,"The determinant of  
\[
A=\begin{pmatrix}1&1&0\\1&0&1\\0&1&1\end{pmatrix}
\]
is  
\[
\det(A)
=1\cdot\det\!\begin{pmatrix}0&1\\1&1\end{pmatrix}
-1\cdot\det\!\begin{pmatrix}1&1\\0&1\end{pmatrix}
+0\cdot\det\!\begin{pmatrix}1&0\\0&1\end{pmatrix}
=-1-1+0=-2\,.  
\]

The matrix of cofactors \(C=(C_{ij})\) has entries  
\[
C_{ij}=(-1)^{i+j}\det(A_{ij}),
\]
so one finds  
\[
C=\begin{pmatrix}
-1 & -1 &  1\\
-1 &  1 & -1\\
 1 & -1 & -1
\end{pmatrix}.
\]
Since \(C\) is symmetric, the adjugate is  
\[
\adj(A)=C^T
=\begin{pmatrix}
-1 & -1 &  1\\
-1 &  1 & -1\\
 1 & -1 & -1
\end{pmatrix}.
\]

Because \(\det(A)=-2\neq0\), \(A\) is invertible and  
\[
A^{-1}
=\frac1{\det(A)}\,\adj(A)
=-\tfrac12
\begin{pmatrix}
-1 & -1 &  1\\
-1 &  1 & -1\\
 1 & -1 & -1
\end{pmatrix}
=\frac12
\begin{pmatrix}
1 &  1 & -1\\
1 & -1 &  1\\
-1 & 1 &  1
\end{pmatrix}.
\]"
9,"First, compute  
\[
\det(A)
=\begin{vmatrix}
2&1&3\\
-1&2&0\\
3&-2&1
\end{vmatrix}
=2\,(2\cdot1-0\cdot(-2))\;-\;1\,((-1)\cdot1-0\cdot3)\;+\;3\,((-1)(-2)-2\cdot3)
=4+1+3(-4)=-7.
\]

Next form the matrix of cofactors \(C=(C_{ij})\):  
\[
C_{11}=\begin{vmatrix}2&0\\-2&1\end{vmatrix}=2,
\quad
C_{12}=-\begin{vmatrix}-1&0\\3&1\end{vmatrix}=1,
\quad
C_{13}=\begin{vmatrix}-1&2\\3&-2\end{vmatrix}=-4,
\]
\[
C_{21}=-\begin{vmatrix}1&3\\-2&1\end{vmatrix}=-7,
\quad
C_{22}=\begin{vmatrix}2&3\\3&1\end{vmatrix}=-7,
\quad
C_{23}=-\begin{vmatrix}2&1\\3&-2\end{vmatrix}=7,
\]
\[
C_{31}=\begin{vmatrix}1&3\\2&0\end{vmatrix}=-6,
\quad
C_{32}=-\begin{vmatrix}2&3\\-1&0\end{vmatrix}=-3,
\quad
C_{33}=\begin{vmatrix}2&1\\-1&2\end{vmatrix}=5.
\]
Hence the classical adjugate is  
\[
\operatorname{adj}(A)=C^T
=\begin{pmatrix}
2&-7&-6\\
1&-7&-3\\
-4&7&5
\end{pmatrix}.
\]

Finally, a direct multiplication gives
\[
A\,\operatorname{adj}(A)
=\begin{pmatrix}2&1&3\\-1&2&0\\3&-2&1\end{pmatrix}
\begin{pmatrix}2&-7&-6\\1&-7&-3\\-4&7&5\end{pmatrix}
=-7\,I_3,
\]
and similarly \(\operatorname{adj}(A)\,A=-7\,I_3\).  Thus
\[
A\,\operatorname{adj}(A)
=\operatorname{adj}(A)\,A
=\det(A)\,I_3.
\]"
10,"Let 
\(A=\begin{pmatrix}
4 & 1 & -3\\
3 & 2 & -6\\
1 & -5 & 3
\end{pmatrix},\quad
b=\begin{pmatrix}9\\-2\\1\end{pmatrix}.\)
Then
\[
\det(A)
=4\,(2\cdot3-(-6)\cdot(-5))
-1\,(3\cdot3-(-6)\cdot1)
+(-3)\,(3\cdot(-5)-2\cdot1)
=-60.
\]
Next form \(A_i\) by replacing the \(i\)th column of \(A\) with \(b\):
\[
A_1=\begin{pmatrix}9&1&-3\\-2&2&-6\\1&-5&3\end{pmatrix},\ 
A_2=\begin{pmatrix}4&9&-3\\3&-2&-6\\1&1&3\end{pmatrix},\ 
A_3=\begin{pmatrix}4&1&9\\3&2&-2\\1&-5&1\end{pmatrix}.
\]
Compute
\[
\det(A_1)=-240,\quad
\det(A_2)=-150,\quad
\det(A_3)=-190.
\]
By Cramer's rule,
\[
x_i=\frac{\det(A_i)}{\det(A)},
\]
hence
\[
x_1=\frac{-240}{-60}=4,\quad
x_2=\frac{-150}{-60}=\frac{5}{2},\quad
x_3=\frac{-190}{-60}=\frac{19}{6}.
\]"
