id,answer
1," Form the augmented matrix $\begin{bmatrix} 2 & 1 & -1 & 8 \\ -3 & -1 & 2 & -11 \\ 1 & 2 & 3 & 10 \end{bmatrix}$. Row reduce: $R_2 \gets R_2 + \frac{3}{2}R_1$, get $\begin{bmatrix} 2 & 1 & -1 & 8 \\ 0 & \frac{1}{2} & \frac{1}{2} & 1 \\ 1 & 2 & 3 & 10 \end{bmatrix}$. Then $R_3 \gets R_3 - \frac{1}{2}R_1$, get $\begin{bmatrix} 2 & 1 & -1 & 8 \\ 0 & \frac{1}{2} & \frac{1}{2} & 1 \\ 0 & \frac{3}{2} & \frac{7}{2} & 6 \end{bmatrix}$. Next, $R_3 \gets R_3 - 3R_2$, get $\begin{bmatrix} 2 & 1 & -1 & 8 \\ 0 & \frac{1}{2} & \frac{1}{2} & 1 \\ 0 & 0 & 2 & 3 \end{bmatrix}$. Back-substitute: $z = \frac{3}{2}$, $y = 1 - \frac{1}{2} \cdot \frac{3}{2} = \frac{1}{4}$, $x = \frac{8 - \frac{1}{4} + \frac{3}{2}}{2} = \frac{7}{2}$. Solution: $x = \frac{7}{2}, y = \frac{1}{4}, z = \frac{3}{2}$."
2,"Characteristic polynomial: $\det(A - \lambda I) = \det\begin{bmatrix} 4-\lambda & 1 \\ 2 & 3-\lambda \end{bmatrix} = (4-\lambda)(3-\lambda) - 2 = \lambda^2 - 7\lambda + 10$. Solve $\lambda^2 - 7\lambda + 10 = 0$, discriminant $\Delta = 49 - 40 = 9$, roots $\lambda = \frac{7 \pm 3}{2}$, so $\lambda = 5, 2$. Eigenvalues: $5, 2$."
3,"Compute $x_1 = Ax_0 = \begin{bmatrix} 3 & 1 \\ 1 & 2 \end{bmatrix} \begin{bmatrix} 1 \\ 1 \end{bmatrix} = \begin{bmatrix} 4 \\ 3 \end{bmatrix}$. Normalize: $||x_1|| = \sqrt{16+9} = 5$, so $x_1 = \begin{bmatrix} \frac{4}{5} \\ \frac{3}{5} \end{bmatrix}$. Rayleigh quotient: $x_1^T A x_1 = \begin{bmatrix} \frac{4}{5} & \frac{3}{5} \end{bmatrix} \begin{bmatrix} 3 & 1 \\ 1 & 2 \end{bmatrix} \begin{bmatrix} \frac{4}{5} \\ \frac{3}{5} \end{bmatrix} = \frac{79}{25} \approx 3.16$. Dominant eigenvalue estimate: $3.16$."
4," Let $A = LU$, $L = \begin{bmatrix} 1 & 0 & 0 \\ l_{21} & 1 & 0 \\ l_{31} & l_{32} & 1 \end{bmatrix}$, $U = \begin{bmatrix} u_{11} & u_{12} & u_{13} \\ 0 & u_{22} & u_{23} \\ 0 & 0 & u_{33} \end{bmatrix}$. First row: $u_{11} = 1, u_{12} = 2, u_{13} = 3$. Second row: $l_{21} \cdot 1 = 2 \implies l_{21} = 2$, $2u_{12} + u_{22} = 5 \implies u_{22} = 1$, $2u_{13} + u_{23} = 7 \implies u_{23} = 1$. Third row: $l_{31} \cdot 1 = 3 \implies l_{31} = 3$, $3u_{12} + l_{32}u_{22} = 7 \implies l_{32} = 1$, $3u_{13} + l_{32}u_{23} = 8 \implies u_{33} = -1$. Thus, $L = \begin{bmatrix} 1 & 0 & 0 \\ 2 & 1 & 0 \\ 3 & 1 & 1 \end{bmatrix}$, $U = \begin{bmatrix} 1 & 2 & 3 \\ 0 & 1 & 1 \\ 0 & 0 & -1 \end{bmatrix}$."
5,"
The Wilkinson's shift $\sigma_i$ should be chosen as an eigenvalue of the matrix
\[\begin{pmatrix}
a_{n-1,n-1} & a_{n-1,n} \\
a_{n,n-1} & a_{n,n}
\end{pmatrix}\]
which is closest to the value $a_{n,n}$ of the matrix $A_i$. Thus, the Wilkinson's shift $\sigma_i$ for the matrix
\[ A_i = \begin{pmatrix}
1 & 0 & 1 \\
0 & 1 & 1 \\
1 & 0 & 1
\end{pmatrix} \]
will be an eigenvalue of the matrix
\[\begin{pmatrix}
1 & 1 \\
0 & 1
\end{pmatrix}\]
which is closest to $a_{n,n} = 1$. Since both eigenvalues are $\lambda_1,_2 = 1,,$, then the Wilkinson's shift is $\sigma_i = 1$."
6,"Use Gram-Schmidt. Let $a_1 = \begin{bmatrix} 1 \\ 1 \\ 0 \end{bmatrix}$, $a_2 = \begin{bmatrix} 1 \\ 0 \\ 1 \end{bmatrix}$, $a_3 = \begin{bmatrix} 0 \\ 1 \\ 1 \end{bmatrix}$. For $q_1$: $||a_1|| = \sqrt{2}$, $q_1 = \begin{bmatrix} \frac{1}{\sqrt{2}} \\ \frac{1}{\sqrt{2}} \\ 0 \end{bmatrix}$. For $q_2$: $u_2 = a_2 - (a_2 \cdot q_1)q_1 = \begin{bmatrix} 1 \\ 0 \\ 1 \end{bmatrix} - \frac{1}{\sqrt{2}} \cdot \begin{bmatrix} \frac{1}{\sqrt{2}} \\ \frac{1}{\sqrt{2}} \\ 0 \end{bmatrix} = \begin{bmatrix} \frac{1}{2} \\ -\frac{1}{2} \\ 1 \end{bmatrix}$, $||u_2|| = \sqrt{\frac{3}{2}}$, $q_2 = \begin{bmatrix} \frac{1}{\sqrt{6}} \\ -\frac{1}{\sqrt{6}} \\ \sqrt{\frac{2}{3}} \end{bmatrix}$. For $q_3$: Compute orthogonally, normalize to get $q_3 = \begin{bmatrix} \frac{1}{\sqrt{3}} \\ \frac{1}{\sqrt{3}} \\ -\frac{1}{\sqrt{3}} \end{bmatrix}$. $R$ from $R_{ij} = q_i^T a_j$, yielding $Q = \begin{bmatrix} \frac{1}{\sqrt{2}} & \frac{1}{\sqrt{6}} & \frac{1}{\sqrt{3}} \\ \frac{1}{\sqrt{2}} & -\frac{1}{\sqrt{6}} & \frac{1}{\sqrt{3}} \\ 0 & \sqrt{\frac{2}{3}} & -\frac{1}{\sqrt{3}} \end{bmatrix}$, $R = \begin{bmatrix} \sqrt{2} & \frac{1}{\sqrt{2}} & \frac{1}{\sqrt{2}} \\ 0 & \sqrt{\frac{3}{2}} & \frac{1}{\sqrt{6}} \\ 0 & 0 & \sqrt{\frac{2}{3}} \end{bmatrix}$."
7," Condition number $\kappa(A) = ||A||_2 ||A^{-1}||_2$. Compute $A^T A = \begin{bmatrix} 5 & 10.01 \\ 10.01 & 20.0401 \end{bmatrix}$. Eigenvalues of $A^T A$: solve $\det(A^T A - \lambda I) = 0$, approximate $\sigma^2 \approx 7.805, 0.005$. Thus, $||A||_2 = \sqrt{7.805} \approx 2.794$. For $A^{-1}$, singular values are $\frac{1}{\sqrt{0.005}}, \frac{1}{\sqrt{7.805}}$, so $||A^{-1}||_2 \approx \frac{1}{\sqrt{0.005}} \approx 14.142$. Condition number: $\kappa(A) \approx 2.794 \cdot 14.142 \approx 39.51$."
8," $A^T A x = A^T b$. Compute $A^T A = \begin{bmatrix} 3 & 6 \\ 6 & 14 \end{bmatrix}$, $A^T b = \begin{bmatrix} 5 \\ 11 \end{bmatrix}$. Solve: $\det(A^T A) = 6$, inverse $A^T A = \frac{1}{6} \begin{bmatrix} 14 & -6 \\ -6 & 3 \end{bmatrix}$, so $x = \frac{1}{6} \begin{bmatrix} 14 & -6 \\ -6 & 3 \end{bmatrix} \begin{bmatrix} 5 \\ 11 \end{bmatrix} = \begin{bmatrix} \frac{4}{3} \\ \frac{1}{2} \end{bmatrix}$. Solution: $x = \frac{4}{3}, y = \frac{1}{2}$."
9,"Jacobi iteration: $x_i^{(k+1)} = \frac{b_i - \sum_{j \neq i} a_{ij} x_j^{(k)}}{a_{ii}}$. Compute: $x_1^{(1)} = \frac{6}{4} = 1.5$, $x_2^{(1)} = \frac{6}{4} = 1.5$, $x_3^{(1)} = \frac{6}{4} = 1.5$. New iterate: $x_1 = \begin{bmatrix} 1.5 \\ 1.5 \\ 1.5 \end{bmatrix}$."
10," Let $A = LL^T$, $L = \begin{bmatrix} l_{11} & 0 & 0 \\ l_{21} & l_{22} & 0 \\ l_{31} & l_{32} & l_{33} \end{bmatrix}$. Compute: $l_{11} = \sqrt{4} = 2$, $l_{21} = \frac{2}{2} = 1$, $l_{31} = \frac{1}{2} = 0.5$, $l_{22} = \sqrt{5 - 1} = 2$, $l_{32} = \frac{2 - 0.5 \cdot 1}{2} = 0.75$, $l_{33} = \sqrt{6 - 0.25 - 0.5625} = \sqrt{5.1875} \approx 2.2776$. Thus, $L = \begin{bmatrix} 2 & 0 & 0 \\ 1 & 2 & 0 \\ 0.5 & 0.75 & 2.2776 \end{bmatrix}$."
11,"Singular values are square roots of eigenvalues of $A^T A = \begin{bmatrix} 1 & 1 \\ 1 & 2 \end{bmatrix}$. Characteristic polynomial: $\det(\lambda I - A^T A) = \lambda^2 - 3\lambda + 1 = 0$. Roots: $\lambda = \frac{3 \pm \sqrt{5}}{2}$. Singular values: $\sqrt{\frac{3 + \sqrt{5}}{2}} \approx 1.618$, $\sqrt{\frac{3 - \sqrt{5}}{2}} \approx 0.618$."
12,"Initialize: $r_0 = b = \begin{bmatrix} 1 \\ 2 \end{bmatrix}$, $p_0 = r_0$. Compute $\alpha_0 = \frac{r_0^T r_0}{p_0^T A p_0} = \frac{5}{\begin{bmatrix} 1 & 2 \end{bmatrix} \begin{bmatrix} 4 & 1 \\ 1 & 3 \end{bmatrix} \begin{bmatrix} 1 \\ 2 \end{bmatrix}} = \frac{5}{14}$. Update: $x_1 = x_0 + \alpha_0 p_0 = \begin{bmatrix} \frac{5}{14} \\ \frac{10}{14} \end{bmatrix}$. New residual: $r_1 = r_0 - \alpha_0 A p_0$. Compute $A p_0 = \begin{bmatrix} 6 \\ 7 \end{bmatrix}$, so $r_1 = \begin{bmatrix} 1 \\ 2 \end{bmatrix} - \frac{5}{14} \begin{bmatrix} 6 \\ 7 \end{bmatrix} = \begin{bmatrix} -\frac{16}{14} \\ -\frac{3}{14} \end{bmatrix}$. Iterate: $x_1 = \begin{bmatrix} \frac{5}{14} \\ \frac{5}{7} \end{bmatrix}$."
13,"Use adjugate method: $\det(A) = 2 \cdot 3 - 1 \cdot 1 = 5$. Adjugate: swap diagonals $(2, 3)$, negate off-diagonals $(-1, -1)$, so adj$(A) = \begin{bmatrix} 3 & -1 \\ -1 & 2 \end{bmatrix}$. Inverse: $A^{-1} = \frac{1}{5} \begin{bmatrix} 3 & -1 \\ -1 & 2 \end{bmatrix}$."
14, Frobenius norm: $||A||_F = \sqrt{\sum a_{ij}^2} = \sqrt{1^2 + 2^2 + 3^2 + 4^2} = \sqrt{1 + 4 + 9 + 16} = \sqrt{30} \approx 5.477$.
15," Gauss-Seidel: $x_i^{(k+1)} = \frac{b_i - \sum_{j<i} a_{ij} x_j^{(k+1)} - \sum_{j>i} a_{ij} x_j^{(k)}}{a_{ii}}$. Compute: $x_1^{(1)} = \frac{6}{4} = 1.5$, $x_2^{(1)} = \frac{6 - 1 \cdot 1.5}{4} = 1.125$, $x_3^{(1)} = \frac{6 - 1 \cdot 1.125}{4} = 1.21875$. New iterate: $x_1 = \begin{bmatrix} 1.5 \\ 1.125 \\ 1.21875 \end{bmatrix}$."
16,"Row reduce: $R_2 \gets R_2 - 2R_1$, $R_3 \gets R_3 - 3R_1$, get $\begin{bmatrix} 1 & 2 & 3 \\ 0 & 0 & 0 \\ 0 & 0 & 0 \end{bmatrix}$. Rank is number of non-zero rows: $\text{rank}(A) = 1$."
17," Characteristic polynomial: $\det(A - \lambda I) = \det\begin{bmatrix} -\lambda & 1 \\ -2 & -3-\lambda \end{bmatrix} = \lambda(\lambda + 3) + 2 = \lambda^2 + 3\lambda + 2$. Solve: $\lambda^2 + 3\lambda + 2 = 0$, roots $\lambda = -1, -2$. Eigenvalues: $-1, -2$."
18," Eigenvalues from $\det(A - \lambda I) = (2-\lambda)^2 - 1 = \lambda^2 - 4\lambda + 3 = 0$. Roots: $\lambda = 3, 1$. Spectral radius: $\max(|\lambda_i|) = 3$."
19,Solve $A x_1 = x_0$. Use LU or inverse: $A^{-1} = \frac{1}{5} \begin{bmatrix} 2 & -1 \\ -1 & 3 \end{bmatrix}$. Compute $x_1 = A^{-1} x_0 = \frac{1}{5} \begin{bmatrix} 2 & -1 \\ -1 & 3 \end{bmatrix} \begin{bmatrix} 1 \\ 1 \end{bmatrix} = \begin{bmatrix} \frac{1}{5} \\ \frac{2}{5} \end{bmatrix}$. Rayleigh quotient: $x_1^T A x_1 / x_1^T x_1 \approx 2.2$. Smallest eigenvalue estimate: $\frac{1}{2.2} \approx 0.4545$.
20,"$||A||_1 = \max(2, 2.01) = 2.01$. Inverse: $A^{-1} = \frac{1}{0.01} \begin{bmatrix} 1.01 & -1 \\ -1 & 1 \end{bmatrix} = \begin{bmatrix} 101 & -100 \\ -100 & 100 \end{bmatrix}$. $||A^{-1}||_1 = \max(201, 200) = 201$. Condition number: $\kappa_1(A) = 2.01 \cdot 201 \approx 404.01$."
21,"Recall that $A$ is orthogonal if and only if both conditions below are satisfied:
\begin{itemize}
    \item All column vectors are mutually orthogonal.
    \item All column vectors have unit length.
\end{itemize}

In Problem 1, we have already obtained the set of $\begin{bmatrix} y \\ z \end{bmatrix}$ satisfying the first bullet:
\[
\left\{ \begin{bmatrix} 0 \\ -\frac{\sin \theta}{\cos \theta} t \\ t \end{bmatrix} \ \middle|\ t \in \mathbb{R} \right\}.
\]

To satisfy the second bullet, we need:
\[
x^2 + y^2 + z^2 = 1 \implies
\left( -\frac{\sin \theta}{\cos \theta} t \right)^2 + t^2 = 1 \implies
t^2 \left( \frac{\sin^2 \theta}{\cos^2 \theta} + 1 \right) = 1 \implies
t^2 = \frac{\cos^2 \theta}{\cos^2 \theta}
\]
which means that $t = \cos \theta$ or $t = -\cos \theta$. Hence, there are only two $\begin{bmatrix} x \\ y \\ z \end{bmatrix}$ that can make $A$ orthogonal:
\[
\begin{bmatrix} 0 \\ -\sin \theta \\ \cos \theta \end{bmatrix}, \begin{bmatrix} 0 \\ \sin \theta \\ -\cos \theta \end{bmatrix}
\]"
22,"We aim to obtain three eigenvectors of $A$ — denote them as $v_1, v_2, v_3$ respectively — that are mutually orthogonal to each other and have lengths 1.

To start with, find the eigenvalues of $A$: $\lambda_1 = 1$ and $\lambda_2 = -1$.

Now, obtain the eigenspace of $\lambda_1$:
\[
\left\{ \begin{bmatrix} u \\ u \\ v \end{bmatrix} \ \middle|\ u, v \in \mathbb{R} \right\}.
\]

This set has dimension 2. We will first take from the set two eigenvectors $x_1$ and $x_2$ that are orthogonal to each other. For this purpose, first set $x_1$ to an arbitrary non-zero vector, e.g., $\begin{bmatrix} 1 \\ 1 \\ 0 \end{bmatrix}$.

Regarding $x_2 = \begin{bmatrix} u \\ u \\ v \end{bmatrix}$, we ensure orthogonality between $x_1$ and $x_2$ by requiring their dot product to be 0:
\[
\begin{bmatrix} 1 & 1 & 0 \end{bmatrix} \begin{bmatrix} u \\ u \\ v \end{bmatrix} = 0 \implies
u + u = 0 \implies
u = 0.
\]

Note that there is no constraint on $v$. We can set $v$ to be any value such that $x_2$ is not a zero-vector, e.g., $v = 1$ which gives $x_2 = \begin{bmatrix} 0 \\ 0 \\ 1 \end{bmatrix}$. Finally, normalize $x_1$ and $x_2$ to have length 1, which gives:
\[
v_1 = \begin{bmatrix} 1/\sqrt{2} \\ 1/\sqrt{2} \\ 0 \end{bmatrix} \quad \text{and} \quad v_2 = \begin{bmatrix} 0 \\ 0 \\ 1 \end{bmatrix}.
\]

Next, obtain the eigenspace of $\lambda_2$:
\[
\left\{ \begin{bmatrix} -t \\ 0 \\ t \end{bmatrix} \ \middle|\ t \in \mathbb{R} \right\}.
\]

This set has dimension 1. Take an arbitrary eigenvector from the set, e.g., $x_3 = \begin{bmatrix} -1 \\ 0 \\ 1 \end{bmatrix}$. Normalizing this vector to have length 1 gives $v_3 = \begin{bmatrix} -1/\sqrt{2} \\ 0 \\ 1/\sqrt{2} \end{bmatrix}$.

Therefore:
\[
Q = \begin{bmatrix}
1/\sqrt{2} & 0 & -1/\sqrt{2} \\
1/\sqrt{2} & 0 & 0 \\
0 & 1 & 1/\sqrt{2}
\end{bmatrix}
\]
\[
B = \begin{bmatrix}
1 & 0 & 0 \\
0 & 1 & 0 \\
0 & 0 & -1
\end{bmatrix}.
\]"
23,"Since this matrix is triangular, the eigenvalues are $\lambda_1 = 2$ and $\lambda_2 = 4$. By solving $(A - \lambda I) \mathbf{x} = 0$ for each eigenvalue, we would find the following:
\[
\lambda_1 = 2 : \mathbf{v}_1 = \begin{bmatrix} 1 \\ 0 \\ 0 \end{bmatrix}, \quad \lambda_2 = 4 : \mathbf{v}_2 = \begin{bmatrix} 5 \\ 1 \\ 1 \end{bmatrix}.
\]

Every eigenvector of $A$ is a multiple of $\mathbf{v}_1$ or $\mathbf{v}_2$ which means there are not three linearly independent eigenvectors of $A$ and by Theorem 5, $A$ is not diagonalizable."
24,"Here the characteristic polynomial is given by
\[
c_A(x) = \det \begin{bmatrix} x-2 & 0 & 0 \\ -1 & x-2 & 1 \\ -1 & -3 & x+2 \end{bmatrix} = (x-2)(x-1)(x+1),
\]
so the eigenvalues are $\lambda_1 = 2$, $\lambda_2 = 1$, and $\lambda_3 = -1$. To find all eigenvectors for $\lambda_1 = 2$, compute
\[
\lambda_1 I - A = \begin{bmatrix} 2-2 & 0 & 0 \\ -1 & 2-2 & 1 \\ -1 & -3 & 2+2 \end{bmatrix} = \begin{bmatrix} 0 & 0 & 0 \\ -1 & 0 & 1 \\ -1 & -3 & 4 \end{bmatrix}.
\]

We want the (nonzero) solutions to $(\lambda_1 I - A) \mathbf{x} = 0$. The augmented matrix becomes
\[
\begin{bmatrix} 0 & 0 & 0 & 0 \\ -1 & 0 & 1 & 0 \\ -1 & -3 & 4 & 0 \end{bmatrix} \rightarrow \begin{bmatrix} 1 & 0 & -1 & 0 \\ 0 & 1 & -1 & 0 \\ 0 & 0 & 0 & 0 \end{bmatrix}
\]
using row operations. Hence, the general solution to $(\lambda_1 I - A) \mathbf{x} = 0$ is $\mathbf{x} = t \begin{bmatrix} 1 \\ 1 \\ 1 \end{bmatrix}$ where $t$ is arbitrary, so we can use $\mathbf{x}_1 = \begin{bmatrix} 1 \\ 1 \\ 1 \end{bmatrix}$ as the basic eigenvector corresponding to $\lambda_1 = 2$. As the reader can verify, the Gaussian algorithm gives basic eigenvectors $\mathbf{x}_2 = \begin{bmatrix} 0 \\ 1 \\ 1 \end{bmatrix}$ and $\mathbf{x}_3 = \begin{bmatrix} 0 \\ 1 \\ 3 \end{bmatrix}$ corresponding to $\lambda_2 = 1$ and $\lambda_3 = -1$, respectively. Note that to eliminate fractions, we could instead use $\mathbf{x}_3 = \begin{bmatrix} 0 \\ 1 \\ 3 \end{bmatrix}$ as the basic $\lambda_3$-eigenvector."
25,"The characteristic polynomial of $A$ is (adding twice row 1 to row 2):
\[
c_A(x) = \det \begin{bmatrix} x-1 & 0 & 1 \\ 0 & x-1 & -2 \\ 1 & -2 & x-5 \end{bmatrix} = (x-1)(x-6)
\]

Thus the eigenvalues are $\lambda = 0, 1$, and $6$, and corresponding eigenvectors are
\[
\mathbf{x}_1 = \begin{bmatrix} 1 \\ -2 \\ 1 \end{bmatrix}, \quad \mathbf{x}_2 = \begin{bmatrix} 2 \\ 0 \\ 1 \end{bmatrix}, \quad \mathbf{x}_3 = \begin{bmatrix} -1 \\ -2 \\ 5 \end{bmatrix}
\]

respectively. Moreover, by what appears to be remarkably good luck, these eigenvectors are orthogonal. We have $\|\mathbf{x}_1\|^2 = 6$, $\|\mathbf{x}_2\|^2 = 5$, and $\|\mathbf{x}_3\|^2 = 30$, so
\[
P = \left[ \frac{1}{\sqrt{6}} \mathbf{x}_1 \quad \frac{1}{\sqrt{5}} \mathbf{x}_2 \quad \frac{1}{\sqrt{30}} \mathbf{x}_3 \right] = \frac{1}{\sqrt{30}} \begin{bmatrix} \sqrt{5} & 2\sqrt{6} & -1 \\ -2\sqrt{5} & 0 & -2 \\ \sqrt{5} & \sqrt{6} & 5 \end{bmatrix}
\]

is an orthogonal matrix. Thus $P^{-1} = P^T$ and
\[
P^T A P = \begin{bmatrix} 0 & 0 & 0 \\ 0 & 1 & 0 \\ 0 & 0 & 6 \end{bmatrix}
\]

by the diagonalization algorithm."
26,"The characteristic polynomial is
\[
c_A(x) = \det \begin{bmatrix} x-8 & 2 & -2 \\ 2 & x-5 & -4 \\ -2 & -4 & x-5 \end{bmatrix} = (x-9)^2
\]

Hence the distinct eigenvalues are 0 and 9 of multiplicities 1 and 2, respectively, so $\dim(E_0) = 1$ and $\dim(E_9) = 2$ by Theorem 5.5.6 ($A$ is diagonalizable, being symmetric). Gaussian elimination gives
\[
E_0(A) = \operatorname{span}\{\mathbf{x}_1\}, \quad \mathbf{x}_1 = \begin{bmatrix} 1 \\ 2 \\ -2 \end{bmatrix},
\]
and
\[
E_9(A) = \operatorname{span}\left\{\begin{bmatrix} -2 \\ 1 \\ 0 \end{bmatrix}, \begin{bmatrix} 2 \\ 0 \\ 1 \end{bmatrix}\right\}.
\]

The eigenvectors in $E_9$ are both orthogonal to $\mathbf{x}_1$ as Theorem 8.2.4 guarantees, but not to each other. However, the Gram-Schmidt process yields an orthogonal basis
\[
\{\mathbf{x}_2, \mathbf{x}_3\} \text{ of } E_9(A) \quad \text{where} \quad \mathbf{x}_2 = \begin{bmatrix} -2 \\ 1 \\ 0 \end{bmatrix} \text{ and } \mathbf{x}_3 = \begin{bmatrix} 2 \\ 4 \\ 5 \end{bmatrix}.
\]

Normalizing gives orthonormal vectors $\frac{1}{\|\mathbf{x}_1\|} \mathbf{x}_1$, $\frac{1}{\sqrt{5}} \mathbf{x}_2$, $\frac{1}{\sqrt{45}} \mathbf{x}_3$, so
\[
P = \left[ \frac{1}{\|\mathbf{x}_1\|} \mathbf{x}_1 \quad \frac{1}{\sqrt{5}} \mathbf{x}_2 \quad \frac{1}{\sqrt{45}} \mathbf{x}_3 \right] = \frac{1}{\sqrt{45}} \begin{bmatrix} \sqrt{5} & -6 & 2 \\ 2\sqrt{5} & 3 & 4 \\ -2\sqrt{5} & 0 & 5 \end{bmatrix}
\]

is an orthogonal matrix such that $P^{-1} A P$ is diagonal.
It is worth noting that other, more convenient, diagonalizing matrices $P$ exist. For example,
\[
\mathbf{y}_2 = \begin{bmatrix} 2 \\ 2 \\ 1 \end{bmatrix} \text{ and } \mathbf{y}_3 = \begin{bmatrix} -2 \\ 1 \\ 1 \end{bmatrix}
\]
lie in $E_9(A)$ and they are orthogonal. Moreover, they both have norm $\sqrt{3}$ (as does $\mathbf{x}_1$), so
\[
Q = \left[ \frac{1}{\sqrt{3}} \mathbf{x}_1 \quad \frac{1}{\sqrt{3}} \mathbf{y}_2 \quad \frac{1}{\sqrt{3}} \mathbf{y}_3 \right] = \frac{1}{\sqrt{3}} \begin{bmatrix} 1 & 2 & -2 \\ 2 & 2 & 1 \\ -2 & 1 & 1 \end{bmatrix}
\]

is a nicer orthogonal matrix with the property that $Q^{-1} A Q$ is diagonal."
27,"The characteristic polynomial is
\[
\det \begin{bmatrix}
-1 - \lambda & 2 & 2 \\
2 & -1 - \lambda & 2 \\
2 & 2 & -1 - \lambda
\end{bmatrix} = \lambda^3 + 3\lambda^2 - 9\lambda - 27 = (\lambda - 3)(\lambda + 3)^2.
\]

(All roots are integers, so they can be found by trial and error, among the divisors of 27.) The corresponding homogeneous systems for eigenvectors and their solutions are:
\[
\lambda = 3: \begin{bmatrix} -4 & 2 & 2 \\ 2 & -4 & 2 \\ 2 & 2 & -4 \end{bmatrix} \mathbf{X} = 0; \quad \mathbf{u}_1 = \begin{bmatrix} 1 \\ 1 \\ 1 \end{bmatrix};
\]
\[
\lambda = -3: \begin{bmatrix} 2 & 2 & 2 \\ 2 & 2 & 2 \\ 2 & 2 & 2 \end{bmatrix} \mathbf{X} = 0; \quad \mathbf{u}_{2,3} = \begin{bmatrix} -1 \\ 0 \\ 1 \end{bmatrix}, \begin{bmatrix} -1 \\ 1 \\ 0 \end{bmatrix}.
\]

Thus, the matrix can be diagonalized, and it has diagonal form in the basis $\{\mathbf{u}_1, \mathbf{u}_2, \mathbf{u}_3\}$. Since $A$ is symmetric, $\mathbf{u}_1$ is orthogonal to $\mathbf{u}_2, \mathbf{u}_3$, and we only need to orthogonalize $\mathbf{u}_2, \mathbf{u}_3$. (By the way, the fact that $A$ is symmetric also tells us that it is diagonalizable, i.e., we must find three independent eigenvectors!) Applying Gram-Schmidt to $\{\mathbf{u}_2, \mathbf{u}_3\}$, we replace $\mathbf{u}_3$ with $[-1 \, 2 \, 1]^T$. Finally, the matrix has diagonal form
\[
\begin{bmatrix}
3 & 0 & 0 \\
0 & -3 & 0 \\
0 & 0 & -3
\end{bmatrix}
\]
in the orthogonal basis
\[
\left\{ \begin{bmatrix} 1 \\ 1 \\ 1 \end{bmatrix}, \begin{bmatrix} -1 \\ 0 \\ 1 \end{bmatrix}, \begin{bmatrix} -1 \\ 2 \\ 1 \end{bmatrix} \right\}.
\]"
