id,question
1," Solve the system $Ax = b$ using Gaussian elimination, where $A = \begin{bmatrix} 2 & 1 & -1 \\ -3 & -1 & 2 \\ 1 & 2 & 3 \end{bmatrix}$, $b = \begin{bmatrix} 8 \\ -11 \\ 10 \end{bmatrix}$."
2, Compute the eigenvalues of $A = \begin{bmatrix} 4 & 1 \\ 2 & 3 \end{bmatrix}$.
3,"Perform one iteration of the power method to estimate the dominant eigenvalue of $A = \begin{bmatrix} 3 & 1 \\ 1 & 2 \end{bmatrix}$, starting with $x_0 = \begin{bmatrix} 1 \\ 1 \end{bmatrix}$."
4,Find the LU decomposition of $A = \begin{bmatrix} 1 & 2 & 3 \\ 2 & 5 & 7 \\ 3 & 7 & 8 \end{bmatrix}$.
5, Compute the determinant of $A = \begin{bmatrix} 2 & -1 & 0 \\ -1 & 2 & -1 \\ 0 & -1 & 2 \end{bmatrix}$.
6,Perform QR factorization of $A = \begin{bmatrix} 1 & 1 & 0 \\ 1 & 0 & 1 \\ 0 & 1 & 1 \end{bmatrix}$.
7, Compute the condition number of $A = \begin{bmatrix} 1 & 2 \\ 2 & 4.01 \end{bmatrix}$ using the 2-norm.
8,"Solve the least squares problem $Ax \approx b$, where $A = \begin{bmatrix} 1 & 1 \\ 1 & 2 \\ 1 & 3 \end{bmatrix}$, $b = \begin{bmatrix} 1 \\ 2 \\ 2 \end{bmatrix}$."
9,"Apply one iteration of the Jacobi method to $Ax = b$, where $A = \begin{bmatrix} 4 & 1 & 0 \\ 1 & 4 & 1 \\ 0 & 1 & 4 \end{bmatrix}$, $b = \begin{bmatrix} 6 \\ 6 \\ 6 \end{bmatrix}$, $x_0 = \begin{bmatrix} 0 \\ 0 \\ 0 \end{bmatrix}$."
10,Find the Cholesky factorization of $A = \begin{bmatrix} 4 & 2 & 1 \\ 2 & 5 & 2 \\ 1 & 2 & 6 \end{bmatrix}$.
11,Compute the singular values of $A = \begin{bmatrix} 1 & 1 \\ 0 & 1 \end{bmatrix}$.
12," Perform one iteration of the conjugate gradient method for $Ax = b$, where $A = \begin{bmatrix} 4 & 1 \\ 1 & 3 \end{bmatrix}$, $b = \begin{bmatrix} 1 \\ 2 \end{bmatrix}$, $x_0 = \begin{bmatrix} 0 \\ 0 \end{bmatrix}$."
13, Find the inverse of $A = \begin{bmatrix} 2 & 1 \\ 1 & 3 \end{bmatrix}$.
14,Compute the Frobenius norm of $A = \begin{bmatrix} 1 & 2 \\ 3 & 4 \end{bmatrix}$.
15,"Apply one iteration of the Gauss-Seidel method to $Ax = b$, where $A = \begin{bmatrix} 4 & 1 & 0 \\ 1 & 4 & 1 \\ 0 & 1 & 4 \end{bmatrix}$, $b = \begin{bmatrix} 6 \\ 6 \\ 6 \end{bmatrix}$, $x_0 = \begin{bmatrix} 0 \\ 0 \\ 0 \end{bmatrix}$."
16,Compute the rank of $A = \begin{bmatrix} 1 & 2 & 3 \\ 2 & 4 & 6 \\ 3 & 6 & 9 \end{bmatrix}$.
17,Find the eigenvalues of $A = \begin{bmatrix} 0 & 1 \\ -2 & -3 \end{bmatrix}$.
18,Compute the spectral radius of $A = \begin{bmatrix} 2 & 1 \\ 1 & 2 \end{bmatrix}$.
19,"Perform one iteration of the inverse power method on $A = \begin{bmatrix} 3 & 1 \\ 1 & 2 \end{bmatrix}$, starting with $x_0 = \begin{bmatrix} 1 \\ 1 \end{bmatrix}$, to estimate the smallest eigenvalue."
20,Find the condition number of $A = \begin{bmatrix} 1 & 1 \\ 1 & 1.01 \end{bmatrix}$ using the 1-norm.
21,"Consider the following matrix
\[
A = \begin{bmatrix}
1 & 0 & x \\
0 & \cos \theta & y \\
0 & \sin \theta & z
\end{bmatrix}
\]

Find all the possible $\begin{bmatrix} x \\ y \\ z \end{bmatrix}$ that makes $A$ orthogonal."
22,"Diagonalize the following matrix
\[
A = \begin{bmatrix}
0 & 1 & 0 \\
0 & 0 & 0 \\
0 & 0 & 1
\end{bmatrix}
\]
into $QBQ^{-1}$ where $B$ is a diagonal matrix, and $Q$ is an orthogonal matrix. You need to give the details of only $Q$ and $B$, namely, you do not need to give the details of $Q^{-1}$."
23,"Diagonalize the following matrix, if possible.
\[
A = \begin{bmatrix}
2 & 4 & 6 \\
0 & 2 & 2 \\
0 & 0 & 4
\end{bmatrix}.
\]"
